store_id,sku_id
ST01,SKU00001
ST01,SKU00002
ST01,SKU00003
ST01,SKU00004
ST01,SKU00005
ST01,SKU00006
ST01,SKU00007
ST01,SKU00008
ST01,SKU00009
ST01,SKU00010
ST01,SKU00011
ST01,SKU00012
ST01,SKU00013
ST01,SKU00014
ST01,SKU00015
ST01,SKU00016
ST01,SKU00017
ST01,SKU00018
ST01,SKU00019
ST01,SKU00020
ST01,SKU00021
ST01,SKU00022
ST01,SKU00023
ST01,SKU00024
ST01,SKU00025
ST01,SKU00026
ST01,SKU00027
ST01,SKU00028
ST01,SKU00029
ST01,SKU00030
ST01,SKU00031
ST01,SKU00032
ST01,SKU00033
ST01,SKU00034
ST01,SKU00035
ST01,SKU00036
ST01,SKU00037
ST01,SKU00038
ST01,SKU00039
ST01,SKU00040
ST01,SKU00041
ST01,SKU00042
ST01,SKU00043
ST01,SKU00044
ST01,SKU00045
ST01,SKU00046
ST01,SKU00047
ST01,SKU00048
ST01,SKU00049
ST01,SKU00050
ST01,SKU00051
ST01,SKU00052
ST01,SKU00053
ST01,SKU00054
ST01,SKU00055
ST01,SKU00056
ST01,SKU00057
ST01,SKU00058
ST01,SKU00059
ST01,SKU00060
ST01,SKU00061
ST01,SKU00062
ST01,SKU00063
ST01,SKU00064
ST01,SKU00065
ST01,SKU00066
ST01,SKU00067
ST01,SKU00068
ST01,SKU00069
ST01,SKU00070
ST01,SKU00071
ST01,SKU00072
ST01,SKU00073
ST01,SKU00074
ST01,SKU00075
ST01,SKU00076
ST01,SKU00077
ST01,SKU00078
ST01,SKU00079
ST01,SKU00080
ST01,SKU00081
ST01,SKU00082
ST01,SKU00083
ST01,SKU00084
ST01,SKU00085
ST01,SKU00086
ST01,SKU00087
ST01,SKU00088
ST01,SKU00089
ST01,SKU00090
ST01,SKU00091
ST01,SKU00092
ST01,SKU00093
ST01,SKU00094
ST01,SKU00095
ST01,SKU00096
ST01,SKU00097
ST01,SKU00098
ST01,SKU00099
ST01,SKU00100
ST01,SKU00101
ST01,SKU00102
ST01,SKU00103
ST01,SKU00104
ST01,SKU00105
ST01,SKU00106
ST01,SKU00107
ST01,SKU00108
ST01,SKU00109
ST01,SKU00110
ST01,SKU00111
ST01,SKU00112
ST01,SKU00113
ST01,SKU00114
ST01,SKU00115
ST01,SKU00116
ST01,SKU00117
ST01,SKU00118
ST01,SKU00119
ST01,SKU00120
ST01,SKU00121
ST01,SKU00122
ST01,SKU00123
ST01,SKU00124
ST01,SKU00125
ST01,SKU00126
ST01,SKU00127
ST01,SKU00128
ST01,SKU00129
ST01,SKU00130
ST01,SKU00131
ST01,SKU00132
ST01,SKU00133
ST01,SKU00134
ST01,SKU00135
ST01,SKU00136
ST01,SKU00137
ST01,SKU00138
ST01,SKU00139
ST01,SKU00140
ST01,SKU00141
ST01,SKU00142
ST01,SKU00143
ST01,SKU00144
ST01,SKU00145
ST01,SKU00146
ST01,SKU00147
ST01,SKU00148
ST01,SKU00149
ST01,SKU00150
ST01,SKU00151
ST01,SKU00152
ST01,SKU00153
ST01,SKU00154
ST01,SKU00155
ST01,SKU00156
ST01,SKU00157
ST01,SKU00158
ST01,SKU00159
ST01,SKU00160
ST01,SKU00161
ST01,SKU00162
ST01,SKU00163
ST01,SKU00164
ST01,SKU00165
ST01,SKU00166
ST01,SKU00167
ST01,SKU00168
ST01,SKU00169
ST01,SKU00170
ST01,SKU00171
ST01,SKU00172
ST01,SKU00173
ST01,SKU00174
ST01,SKU00175
ST01,SKU00176
ST01,SKU00177
ST01,SKU00178
ST01,SKU00179
ST01,SKU00180
ST01,SKU00181
ST01,SKU00182
ST01,SKU00183
ST01,SKU00184
ST01,SKU00185
ST01,SKU00186
ST01,SKU00187
ST01,SKU00188
ST01,SKU00189
ST01,SKU00190
ST01,SKU00191
ST01,SKU00192
ST01,SKU00193
ST01,SKU00194
ST01,SKU00195
ST01,SKU00196
ST01,SKU00197
ST01,SKU00198
ST01,SKU00199
ST01,SKU00200
ST01,SKU00201
ST01,SKU00202
ST01,SKU00203
ST01,SKU00204
ST01,SKU00205
ST01,SKU00206
ST01,SKU00207
ST01,SKU00208
ST01,SKU00209
ST01,SKU00210
ST01,SKU00211
ST01,SKU00212
ST01,SKU00213
ST01,SKU00214
ST01,SKU00215
ST01,SKU00216
ST01,SKU00217
ST01,SKU00218
ST01,SKU00219
ST01,SKU00220
ST01,SKU00221
ST01,SKU00222
ST01,SKU00223
ST01,SKU00224
ST01,SKU00225
ST01,SKU00226
ST01,SKU00227
ST01,SKU00228
ST01,SKU00229
ST01,SKU00230
ST01,SKU00231
ST01,SKU00232
ST01,SKU00233
ST01,SKU00234
ST01,SKU00235
ST01,SKU00236
ST01,SKU00237
ST01,SKU00238
ST01,SKU00239
ST01,SKU00240
ST01,SKU00241
ST01,SKU00242
ST01,SKU00243
ST01,SKU00244
ST01,SKU00245
ST01,SKU00246
ST01,SKU00247
ST01,SKU00248
ST01,SKU00249
ST01,SKU00250
ST01,SKU00251
ST01,SKU00252
ST01,SKU00253
ST01,SKU00254
ST01,SKU00255
ST01,SKU00256
ST01,SKU00257
ST01,SKU00258
ST01,SKU00259
ST01,SKU00260
ST01,SKU00261
ST01,SKU00262
ST01,SKU00263
ST01,SKU00264
ST01,SKU00265
ST01,SKU00266
ST01,SKU00267
ST01,SKU00268
ST01,SKU00269
ST01,SKU00270
ST01,SKU00271
ST01,SKU00272
ST01,SKU00273
ST01,SKU00274
ST01,SKU00275
ST01,SKU00276
ST01,SKU00277
ST01,SKU00278
ST01,SKU00279
ST01,SKU00280
ST01,SKU00281
ST01,SKU00282
ST01,SKU00283
ST01,SKU00284
ST01,SKU00285
ST01,SKU00286
ST01,SKU00287
ST01,SKU00288
ST01,SKU00289
ST01,SKU00290
ST01,SKU00291
ST01,SKU00292
ST01,SKU00293
ST01,SKU00294
ST01,SKU00295
ST01,SKU00296
ST01,SKU00297
ST01,SKU00298
ST01,SKU00299
ST01,SKU00300
ST01,SKU00301
ST01,SKU00302
ST01,SKU00303
ST01,SKU00304
ST01,SKU00305
ST01,SKU00306
ST01,SKU00307
ST01,SKU00308
ST01,SKU00309
ST01,SKU00310
ST01,SKU00311
ST01,SKU00312
ST01,SKU00313
ST01,SKU00314
ST01,SKU00315
ST01,SKU00316
ST01,SKU00317
ST01,SKU00318
ST01,SKU00319
ST01,SKU00320
ST01,SKU00321
ST01,SKU00322
ST01,SKU00323
ST01,SKU00324
ST01,SKU00325
ST01,SKU00326
ST01,SKU00327
ST01,SKU00328
ST01,SKU00329
ST01,SKU00330
ST01,SKU00331
ST01,SKU00332
ST01,SKU00333
ST01,SKU00334
ST01,SKU00335
ST01,SKU00336
ST01,SKU00337
ST01,SKU00338
ST01,SKU00339
ST01,SKU00340
ST01,SKU00341
ST01,SKU00342
ST01,SKU00343
ST01,SKU00344
ST01,SKU00345
ST01,SKU00346
ST01,SKU00347
ST01,SKU00348
ST01,SKU00349
ST01,SKU00350
ST01,SKU00351
ST01,SKU00352
ST01,SKU00353
ST01,SKU00354
ST01,SKU00355
ST01,SKU00356
ST01,SKU00357
ST01,SKU00358
ST01,SKU00359
